Movie ID,Title,Genre,Language,Production House,Release Date,Country,Budget (M USD),Duration (mins),Opening Day Collection (M USD),Weekend Collection (M USD),Lifetime Gross (M USD),Number of Screens,IMAX/3D Available,IMDb Rating,Rotten Tomatoes Score,Audience Reviews,Domestic Collection (M USD),International Collection (M USD),Distribution Company,Marketing Budget (M USD)
MOV7131,Movie 42,Sci-Fi,Japanese,Sony Pictures,20:58.5,UK,220.1,80,7.62,20.01,70.27,4876,Yes,5.5,59,306022,55.04,15.23,Sony Pictures,79.76
MOV9554,Movie 43,Horror,Telugu,Universal,20:58.5,India,233.7,109,12.21,30.23,110.2,758,Yes,9.2,71,317539,75.79,34.41,Paramount,68.17
MOV4424,Movie 44,Romance,Hindi,Disney,20:58.5,India,283.71,123,31.84,61.32,142.51,2355,No,4.4,53,238700,93.39,49.12,Fox Studios,103.42
MOV3809,Movie 45,Comedy,Chinese,Netflix Originals,20:58.5,India,226.56,126,10.65,21.18,66.65,2090,No,6.9,72,308662,49.11,17.54,Paramount,43.82
MOV9923,Movie 46,Romance,English,Universal,20:58.5,USA,5.2,163,13.99,21.73,194.8,3079,No,7,92,48022,127.25,67.55,Netflix,2.3
MOV4181,Movie 47,Drama,German,Fox Studios,20:58.5,UK,49.29,127,38.58,91.95,586.87,1997,No,9,76,410245,334.46,252.41,Warner Bros,24.43
MOV1496,Movie 48,Adventure,Tamil,Fox Studios,20:58.5,UK,27.52,168,45.75,134.78,428.46,2878,Yes,9,85,429300,247.29,181.17,Netflix,8.96
MOV3883,Movie 49,Animation,French,Sony Pictures,20:58.5,India,14.84,127,1.87,5.39,43.9,2785,No,6.3,69,40864,33.42,10.48,Amazon Prime,2.55
MOV2432,Movie 50,Horror,Korean,Netflix Originals,20:58.5,France,125.28,119,17.2,44.3,184.09,788,Yes,8,57,32569,95.45,88.64,Amazon Prime,29.03
MOV3547,Movie 51,Horror,English,Disney,20:58.5,Japan,58.31,132,45.41,132.36,1153.25,978,Yes,5,53,390858,740.44,412.81,Warner Bros,27.05
MOV2339,Movie 52,Thriller,Telugu,Warner Bros,20:58.5,Germany,66.57,161,2.46,5.44,37.99,2212,No,6.8,35,132296,27.64,10.35,Warner Bros,24.66
MOV7244,Movie 53,Adventure,Japanese,Fox Studios,20:58.5,Germany,278.86,165,13.75,39.12,93.91,1281,Yes,7.4,89,297697,71.99,21.92,Amazon Prime,116.45
MOV8287,Movie 54,Adventure,Tamil,Fox Studios,20:58.5,USA,190.78,122,49.4,147.24,573.65,4402,No,6.1,56,122724,314.24,259.41,Sony Pictures,79.09
MOV4650,Movie 55,Thriller,Japanese,Sony Pictures,20:58.5,UK,216.48,173,5.73,14.03,43.18,4564,No,8.3,27,347615,33.54,9.64,Warner Bros,55
MOV5394,Movie 56,Animation,English,Paramount,20:58.5,Germany,67.52,115,33.49,99.71,832.45,3359,Yes,6.3,89,142626,649,183.45,Warner Bros,23.15
MOV9838,Movie 57,Comedy,German,Sony Pictures,20:58.5,China,20.36,130,3.78,9.01,28.48,742,No,5.7,38,421556,22.76,5.72,Warner Bros,3.8
MOV4692,Movie 58,Thriller,English,Warner Bros,20:58.5,USA,9.81,112,32.73,91.8,284.47,4465,No,9.2,41,492613,210.53,73.94,Netflix,4.27
MOV3531,Movie 59,Horror,Japanese,Sony Pictures,20:58.5,China,221.94,131,23.81,36.38,303.44,2427,Yes,8.1,93,200590,183.38,120.06,Fox Studios,100.65
MOV2873,Movie 60,Animation,Chinese,Universal,20:58.5,India,273.63,133,14.51,26.97,251.61,752,No,7.9,51,491853,187.32,64.29,Warner Bros,114.72
MOV8909,Movie 61,Adventure,German,Universal,20:58.5,India,26.75,130,7.19,18.29,180.13,3450,No,5.2,85,30297,103.64,76.49,Sony Pictures,6.06
MOV2482,Movie 62,Comedy,Telugu,Warner Bros,20:58.5,Japan,65.43,139,41.39,71.07,529.75,1227,No,6.2,94,228683,412.61,117.14,Netflix,14.83
MOV3229,Movie 63,Comedy,German,Netflix Originals,20:58.5,China,59.38,153,16.52,25.14,135.4,3649,Yes,7.6,63,35628,104.79,30.61,Paramount,24.53
MOV5089,Movie 64,Drama,Tamil,Paramount,20:58.5,France,142.71,89,4.8,8.33,67.23,4331,No,8.5,71,473075,50.02,17.21,Fox Studios,51.6
MOV2923,Movie 65,Romance,Tamil,Warner Bros,20:58.5,India,103.45,146,22.56,53.86,192.1,3635,Yes,8.5,98,267185,120.81,71.29,Warner Bros,21.95
MOV2724,Movie 66,Action,German,Warner Bros,20:58.5,Japan,105.05,170,24.16,41.28,96.13,3382,Yes,8.7,33,305620,64.74,31.39,Sony Pictures,52.33
MOV4442,Movie 67,Sci-Fi,Telugu,Fox Studios,20:58.5,South Korea,110.42,165,28.58,83.77,455.27,2055,Yes,6.2,32,364096,313.35,141.92,Fox Studios,29.16
MOV4697,Movie 68,Thriller,Hindi,Universal,20:58.5,USA,113.28,134,20.99,46.05,315.99,1659,Yes,6.7,100,259390,173.95,142.04,Netflix,28.41
MOV2300,Movie 69,Thriller,Japanese,Sony Pictures,20:58.5,Germany,219.82,159,16.42,28.44,146.75,2699,No,5.8,83,495963,115.16,31.59,Sony Pictures,70.18
MOV1135,Movie 70,Animation,German,Warner Bros,20:58.5,China,286.73,143,42.38,120.79,878.2,1926,No,4.1,98,340203,498.57,379.63,Paramount,136.45
MOV3409,Movie 71,Animation,Hindi,Warner Bros,20:58.5,Japan,90.13,112,20.31,38.63,78.14,2564,Yes,4.1,89,21974,55.93,22.21,Paramount,35.31
MOV6283,Movie 72,Adventure,Telugu,Warner Bros,20:58.5,Japan,132.75,123,36.24,106.8,275.67,3296,Yes,9.7,67,149425,145.47,130.2,Fox Studios,22.38
MOV3216,Movie 73,Adventure,Hindi,Netflix Originals,20:58.5,Japan,231.22,116,17.16,49.6,274.21,4610,Yes,5.6,71,102270,187.9,86.31,Warner Bros,106.79
MOV9753,Movie 74,Action,German,Disney,20:58.5,Japan,273.68,178,16.23,27.04,73.14,667,No,5.7,23,289240,50.68,22.46,Amazon Prime,131.63
MOV4851,Movie 75,Romance,Chinese,Sony Pictures,20:58.5,Japan,216.4,101,29.08,78.22,481.76,752,Yes,8.8,46,198036,249.06,232.7,Paramount,30.68
MOV5218,Movie 76,Thriller,Japanese,Paramount,20:58.5,India,123.7,95,29.62,52.25,219.08,583,Yes,7.4,67,159659,120.98,98.1,Fox Studios,28.75
MOV6384,Movie 77,Sci-Fi,French,Fox Studios,20:58.5,China,213.97,127,46.7,104.74,316.96,781,No,7.9,57,415473,203.7,113.26,Warner Bros,98.69
MOV2945,Movie 78,Sci-Fi,Hindi,Paramount,20:58.5,USA,24.78,84,26.85,60.07,351.14,2489,Yes,5.4,38,398768,210.55,140.59,Fox Studios,4.98
MOV1239,Movie 79,Thriller,Japanese,Netflix Originals,20:58.5,France,124.06,168,32.19,94.42,505.76,576,Yes,8.3,62,379582,331.84,173.92,Sony Pictures,21.14
MOV8823,Movie 80,Horror,Hindi,Sony Pictures,20:58.5,South Korea,55.73,158,36.7,83.05,561.64,4412,Yes,8,25,99297,339.17,222.47,Amazon Prime,13.64
MOV8380,Movie 81,Action,English,Warner Bros,20:58.5,UK,170.81,155,8.87,19.91,85.57,2614,Yes,4.8,67,246440,54.06,31.51,Netflix,41.2
MOV1012,Movie 82,Animation,Spanish,Netflix Originals,20:58.5,UK,12.3,177,48.73,134.46,774.86,2233,Yes,5.6,81,455772,401.53,373.33,Warner Bros,3.6
MOV2609,Movie 83,Drama,French,Universal,20:58.5,Japan,14.25,92,40.29,99.91,865.28,870,Yes,8,87,208047,579.91,285.37,Paramount,6.73
MOV3572,Movie 84,Romance,German,Paramount,20:58.5,UK,15.25,156,30.97,80.53,678.3,3723,Yes,5.2,90,110873,350.95,327.35,Amazon Prime,1.54
MOV4801,Movie 85,Adventure,German,Warner Bros,20:58.5,Germany,20.14,143,39.68,110.86,352.2,3020,No,9.1,44,448248,190.68,161.52,Paramount,2.52
MOV8545,Movie 86,Action,Hindi,Warner Bros,20:58.5,Japan,288.56,162,5.62,16.64,105.95,2929,No,6.3,88,58272,67.72,38.23,Fox Studios,140.56
MOV3987,Movie 87,Drama,Spanish,Disney,20:58.5,France,16.44,175,26.41,73.14,469.4,1687,Yes,6.2,51,159534,259.12,210.28,Amazon Prime,5.56
MOV3404,Movie 88,Drama,Chinese,Universal,20:58.5,Japan,249.72,120,22.33,60.54,469.6,718,Yes,6.8,74,335204,351,118.6,Amazon Prime,77.89
MOV2862,Movie 89,Sci-Fi,German,Paramount,20:58.5,India,2.16,170,2,5.36,26.68,762,No,9.3,79,212684,14.11,12.57,Netflix,0.95
MOV4188,Movie 90,Thriller,Chinese,Warner Bros,20:58.5,Germany,231.85,150,40.2,93.67,862.98,4678,Yes,4.6,58,464490,469.37,393.61,Netflix,26.32
MOV2315,Movie 91,Adventure,Spanish,Warner Bros,20:58.5,UK,255.21,136,17.37,30.11,220.76,2690,Yes,4,37,323775,111.05,109.71,Fox Studios,71.24
MOV7418,Movie 92,Drama,French,Fox Studios,20:58.5,China,280.42,84,23.22,52.9,497.5,618,No,5.8,89,249753,270.02,227.48,Paramount,35.69
MOV6362,Movie 93,Sci-Fi,French,Universal,20:58.5,France,165.47,147,35.31,54.03,123.78,1336,Yes,9.1,59,425438,77.66,46.12,Sony Pictures,75.71
MOV3055,Movie 94,Action,English,Fox Studios,20:58.5,Germany,279.34,145,5.69,11.44,75.36,1545,Yes,7.2,88,197424,41.17,34.19,Fox Studios,51.84
MOV2346,Movie 95,Adventure,German,Fox Studios,20:58.5,France,252.98,110,37.4,90.47,576.41,4837,Yes,6.4,31,150993,357.98,218.43,Amazon Prime,122.61
MOV5713,Movie 96,Animation,Telugu,Paramount,20:58.5,USA,296.94,81,28.43,66.4,288.2,2743,No,9,39,64117,186.19,102.01,Warner Bros,120.58
MOV8152,Movie 97,Romance,Tamil,Netflix Originals,20:58.5,China,143.46,136,25.75,59.52,489.25,2189,No,9.5,79,142021,283.77,205.48,Fox Studios,51.33
MOV9681,Movie 98,Animation,Telugu,Fox Studios,20:58.5,Germany,218.26,82,39.69,104.07,626.88,3311,Yes,7.7,64,469941,414.22,212.66,Sony Pictures,83.69
MOV9607,Movie 99,Drama,English,Warner Bros,20:58.5,South Korea,137.03,123,45.14,69.14,438.12,2262,Yes,6.3,32,321790,322.25,115.87,Netflix,65.98
MOV3677,Movie 100,Drama,Japanese,Netflix Originals,20:58.5,China,11.87,90,27,80.17,758.48,3546,Yes,7.6,63,268508,441.69,316.79,Netflix,4.49
MOV9755,Movie 101,Adventure,English,Paramount,20:58.5,UK,85.45,158,26.23,68.25,542.41,2496,Yes,4.7,62,324170,356.77,185.64,Paramount,41.06
MOV5770,Movie 102,Action,German,Fox Studios,20:58.5,India,275.51,110,47.61,118.55,466.74,4254,Yes,9.7,53,106374,273.45,193.29,Paramount,78.87
MOV7302,Movie 103,Horror,Spanish,Netflix Originals,20:58.5,Japan,151.31,130,48.13,122.51,1218.52,3961,Yes,9.9,74,291345,850.36,368.16,Fox Studios,60.86
MOV7937,Movie 104,Thriller,Korean,Sony Pictures,20:58.5,China,133.26,101,48.5,109.42,571.96,3946,Yes,7.1,43,268674,453.22,118.74,Fox Studios,54.93
MOV9782,Movie 105,Thriller,Tamil,Paramount,20:58.5,Germany,294.5,170,17.34,48.15,285.51,3778,Yes,8.4,77,355647,176.97,108.54,Fox Studios,50.45
MOV3462,Movie 106,Animation,Japanese,Universal,20:58.5,China,291.47,109,0.84,1.82,11.66,2518,Yes,6.7,35,340549,7.29,4.37,Paramount,98.89
MOV4701,Movie 107,Adventure,Spanish,Disney,20:58.5,Germany,63.98,137,26.32,75.86,359.79,4213,No,9.3,64,147730,247.84,111.95,Fox Studios,9.01
MOV7990,Movie 108,Sci-Fi,Chinese,Paramount,20:58.5,China,210.65,138,17.41,39.72,231.13,2773,Yes,5.9,93,261762,156.12,75.01,Amazon Prime,77.49
MOV7961,Movie 109,Horror,Tamil,Paramount,20:58.5,Germany,258.09,106,12.95,32.89,264.87,1156,No,4.8,50,191495,185.72,79.15,Sony Pictures,27.68
MOV9595,Movie 110,Romance,Japanese,Sony Pictures,20:58.5,India,50.89,105,19.84,49.08,181.77,698,Yes,4.2,52,66075,110.68,71.09,Amazon Prime,22.31
MOV6034,Movie 111,Thriller,Spanish,Universal,20:58.5,China,76.65,130,28.71,68.67,513.39,2541,No,8.6,58,288411,306.55,206.84,Amazon Prime,30.58
MOV6019,Movie 112,Animation,Korean,Disney,20:58.5,China,82.69,121,3.3,8.74,50.08,3234,Yes,7,92,379985,25.74,24.34,Sony Pictures,31.67
MOV4074,Movie 113,Romance,Japanese,Disney,20:58.5,China,179.87,118,40.5,95.64,393.28,3962,No,7.7,35,219874,240.6,152.68,Amazon Prime,22.15
MOV3942,Movie 114,Action,English,Fox Studios,20:58.5,Germany,131.44,88,25.49,57.1,174.95,1869,No,8.7,93,266262,125.98,48.97,Sony Pictures,26.25
MOV4320,Movie 115,Animation,Tamil,Universal,20:58.5,UK,120.19,87,26.82,76.98,740.51,3375,No,9.8,48,16786,413.68,326.83,Amazon Prime,33.14
MOV2060,Movie 116,Horror,Korean,Disney,20:58.5,South Korea,38.32,99,33.66,87.77,520.93,1145,No,6.7,49,177747,280.67,240.26,Amazon Prime,16.42
MOV1713,Movie 117,Horror,Telugu,Disney,20:58.5,India,263.24,84,0.55,0.94,5.8,2752,No,8.1,20,384607,3.58,2.22,Fox Studios,101.69
MOV7926,Movie 118,Comedy,Chinese,Warner Bros,20:58.5,USA,152.53,112,33.89,58.08,226.01,1040,Yes,5.5,74,241655,135.67,90.34,Netflix,48.43
MOV1886,Movie 119,Sci-Fi,Japanese,Sony Pictures,20:58.5,Japan,287.19,171,43.51,124.74,934.91,3884,Yes,4.6,23,346342,719.9,215.01,Warner Bros,136.04
MOV8794,Movie 120,Animation,Spanish,Universal,20:58.5,USA,55.8,158,17.14,49.11,454.04,3472,No,4.8,88,160790,362.48,91.56,Warner Bros,7.12
MOV2220,Movie 121,Horror,Chinese,Sony Pictures,20:58.5,Japan,68.56,151,2.96,5.02,21.94,3933,No,9.3,60,3131,13.61,8.33,Fox Studios,24.38
MOV5593,Movie 122,Adventure,Chinese,Warner Bros,20:58.5,Japan,267.87,151,47.83,87.36,377.12,3358,No,5,92,97593,201.18,175.94,Netflix,42.84
MOV9534,Movie 123,Animation,Spanish,Disney,20:58.5,China,224.96,153,20.1,39.94,266.32,1385,Yes,5.5,69,443093,172.05,94.27,Sony Pictures,92.71
MOV8807,Movie 124,Action,Hindi,Disney,20:58.5,Japan,210.12,169,40.77,113.87,568.18,3388,No,7.6,76,389769,373.02,195.16,Amazon Prime,31.5
MOV5725,Movie 125,Animation,Korean,Paramount,20:58.5,Germany,152.38,156,18.21,40.7,90.75,4868,Yes,6,65,487077,48.09,42.66,Paramount,42.89
MOV1510,Movie 126,Adventure,English,Warner Bros,20:58.5,India,193.86,177,44.33,121.69,901.68,1209,Yes,9.6,80,14587,716.83,184.85,Fox Studios,70.32
MOV7977,Movie 127,Comedy,German,Disney,20:58.5,India,176.3,120,29.73,69.57,166.72,4210,Yes,8.3,84,497555,87.28,79.44,Netflix,77.15
MOV8106,Movie 128,Horror,French,Disney,20:58.5,China,249.93,117,34.42,68.55,284.48,578,No,8.4,46,151323,191.92,92.56,Amazon Prime,71.81
MOV3666,Movie 129,Romance,German,Paramount,20:58.5,India,176.37,169,27.77,62.44,528.59,4824,No,6.7,74,61455,409.91,118.68,Fox Studios,46.75
MOV4313,Movie 130,Drama,Tamil,Paramount,20:58.5,Japan,35.52,178,4.17,11.74,102.15,4675,Yes,6.5,50,330231,79.47,22.68,Fox Studios,6.9
MOV6169,Movie 131,Horror,Korean,Fox Studios,20:58.5,India,131.07,144,11.91,25.94,218.86,704,Yes,5.4,82,331484,117.27,101.59,Sony Pictures,34.2
MOV1336,Movie 132,Adventure,Telugu,Paramount,20:58.5,Germany,102.87,90,15.67,28.55,163.47,2210,Yes,6.4,69,273138,116.02,47.45,Netflix,38.92
MOV7790,Movie 133,Romance,Tamil,Fox Studios,20:58.5,India,220.94,114,15.49,44.74,213.69,4703,Yes,9.3,29,69360,122.08,91.61,Paramount,94.47
MOV7110,Movie 134,Sci-Fi,Chinese,Disney,20:58.5,Japan,192.21,130,5.15,13.42,101.33,1622,No,5.4,34,246888,78.93,22.4,Warner Bros,83.41
MOV8955,Movie 135,Horror,Tamil,Netflix Originals,20:58.5,China,203.73,133,5.5,12.87,74.46,2296,No,9.6,45,36444,43.46,31,Warner Bros,72.33
MOV2987,Movie 136,Romance,Spanish,Disney,20:58.5,Germany,62.89,96,3.54,10.39,75.83,1273,No,5.6,41,89974,46.41,29.42,Fox Studios,16.79
MOV6844,Movie 137,Comedy,Tamil,Disney,20:58.5,UK,223.81,123,34.4,52.11,243.81,1560,No,9.2,66,330834,167.26,76.55,Sony Pictures,27.69
MOV6939,Movie 138,Action,Japanese,Universal,20:58.5,China,299.18,111,10.71,23.09,95.06,4917,Yes,4.7,81,371014,63.04,32.02,Warner Bros,37.54
MOV2548,Movie 139,Drama,Tamil,Paramount,20:58.5,USA,91.32,97,6.97,13.56,92.92,1088,No,9.3,36,370628,48.14,44.78,Amazon Prime,45.1
MOV7426,Movie 140,Action,Korean,Netflix Originals,20:58.5,France,172.7,105,14.56,38.21,313.49,3108,No,5.2,42,403110,189.26,124.23,Sony Pictures,46.43
MOV7141,Movie 141,Animation,English,Disney,20:58.5,South Korea,78.24,92,14.63,25.01,61.19,1784,No,7.4,81,118868,40.88,20.31,Sony Pictures,25.43
MOV8746,Movie 142,Comedy,English,Warner Bros,20:58.5,UK,55.05,156,12.62,26.08,144.35,4523,Yes,5.3,66,444881,93.26,51.09,Amazon Prime,24.54
MOV7472,Movie 143,Horror,German,Fox Studios,20:58.5,USA,299.33,157,46.91,99.7,667.18,3241,No,4,22,53884,439.3,227.88,Amazon Prime,97.17
MOV9935,Movie 144,Animation,Spanish,Paramount,20:58.5,UK,4.98,98,41.9,89.4,476.77,4097,Yes,10,87,164167,299.46,177.31,Sony Pictures,1.96
MOV6232,Movie 145,Drama,German,Universal,20:58.5,South Korea,47.37,87,17.32,29.81,172.84,651,No,9.2,20,128536,95.65,77.19,Sony Pictures,21.81
MOV9287,Movie 146,Animation,Telugu,Paramount,20:58.5,Japan,259.91,172,19.54,50.37,177.49,2727,Yes,9,42,315285,93.54,83.95,Sony Pictures,47.62
MOV5175,Movie 147,Sci-Fi,English,Netflix Originals,20:58.5,USA,144.29,134,20.56,37.53,289.31,3017,Yes,4.7,74,400302,203.35,85.96,Fox Studios,30.35
MOV1781,Movie 148,Comedy,French,Paramount,20:58.5,Germany,104.54,141,43.52,108.55,358.16,3591,Yes,4.9,71,239111,179.66,178.5,Paramount,13.39
MOV1833,Movie 149,Animation,Chinese,Paramount,20:58.5,China,89.96,164,20.99,36.82,336.82,1204,Yes,4.6,71,115457,191.49,145.33,Netflix,33.16
MOV6941,Movie 150,Action,Korean,Disney,20:58.5,USA,60.8,127,26.92,46.47,400.91,2624,Yes,5,41,412402,226.67,174.24,Warner Bros,23.19
MOV6778,Movie 151,Action,Japanese,Netflix Originals,20:58.5,South Korea,10.56,167,13.1,30.89,221.76,2460,No,9.1,76,407875,152.78,68.98,Sony Pictures,4.63
MOV8308,Movie 152,Adventure,Korean,Warner Bros,20:58.5,Germany,28.13,127,41.47,109.7,1084.9,2245,No,6.5,100,96462,860.27,224.63,Warner Bros,8.31
MOV8031,Movie 153,Thriller,English,Sony Pictures,20:58.5,UK,61.85,104,45.78,105.45,774.29,1486,No,5.9,78,26852,504.44,269.85,Amazon Prime,27.71
MOV3517,Movie 154,Animation,German,Disney,20:58.5,Japan,202.07,158,31.82,52.76,120.3,979,No,9.3,69,319924,79.34,40.96,Sony Pictures,66.9
MOV4555,Movie 155,Action,Telugu,Fox Studios,20:58.5,France,282.05,93,44.02,104.33,500.9,3338,No,4.5,80,458311,291.73,209.17,Sony Pictures,79.05
MOV2893,Movie 156,Drama,Tamil,Sony Pictures,20:58.5,Japan,75.49,102,12.42,37.18,364.99,2936,Yes,7,45,78534,251.12,113.87,Netflix,22.13
MOV4723,Movie 157,Action,Telugu,Fox Studios,20:58.5,South Korea,280.21,122,7.8,16.21,46.44,2446,No,8.7,35,410888,26.93,19.51,Netflix,77.72
